root@comp3134:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:46:09.354766 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2504971002:2504971110, ack 561089138, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 108
20:46:11.732953 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 61612:61816, ack 37, win 501, options [nop,nop,TS val 1836014660 ecr 1565997839], length 204
20:46:11.733054 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 61816:62180, ack 37, win 501, options [nop,nop,TS val 1836014660 ecr 1565997839], length 364
20:46:11.749150 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 62180, win 5645, options [nop,nop,TS val 1565997942 ecr 1836014660], length 0
20:46:11.836990 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 62180:62384, ack 37, win 501, options [nop,nop,TS val 1836014764 ecr 1565997942], length 204
20:46:11.837144 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 62384:62748, ack 37, win 501, options [nop,nop,TS val 1836014764 ecr 1565997942], length 364
20:46:11.851116 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 62748, win 5645, options [nop,nop,TS val 1565998044 ecr 1836014764], length 0
20:46:11.940958 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 62748:62952, ack 37, win 501, options [nop,nop,TS val 1836014868 ecr 1565998044], length 204
20:46:11.941077 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 62952:63316, ack 37, win 501, options [nop,nop,TS val 1836014868 ecr 1565998044], length 364
20:46:11.959449 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 63316, win 5645, options [nop,nop,TS val 1565998150 ecr 1836014868], length 0
^C
318 packets captured
323 packets received by filter
0 packets dropped by kernel
